item,Momentum_0.0_no_comma,Momentum_0.2_no_comma,Momentum_0.0,Momentum_0.2
气息,1,1,1,1
出,0.513158,0.486842,0.381579,0.434211
镜头,0.466667,0.466667,0.466667,0.466667
中医,1,1,1,1
日子,0.625,0.53125,0.875,0.90625
队伍,0.454545,0.454545,0.727273,0.727273
平息,0.875,0.875,1,1
发,0.857143,0.857143,0.314286,0.285714
单位,0.5625,0.5625,1,1
看,0.941176,0.941176,0.294118,0.294118
使,0.625,0.625,0.9375,0.9375
动摇,1,1,0.625,0.625
本,0.96,0.92,0.4,0.44
机组,1,1,0.714286,0.714286
儿女,0.894737,0.894737,0.947368,0.947368
长城,0.947368,0.947368,1,1
挑,1,1,1,1
推翻,1,0.888889,1,1
动,0.947368,0.894737,0.736842,0.736842
望,1,1,1,1
说明,1,1,0.555556,0.555556
牌子,1,1,0.882353,0.882353
开通,0.5,0.5,0.5,0.5
震惊,0.714286,0.714286,0.714286,0.714286
天地,0.625,0.5,0.958333,0.958333
成立,0.8,0.76,0.8,0.84
菜,1,1,0.526316,0.526316
吃,0.913043,0.956522,0.434783,0.434783
进,0.232558,0.232558,0.232558,0.232558
表面,0.611111,0.611111,1,1
气象,0.625,0.625,0.625,0.625
面,0.913043,0.913043,0.956522,0.956522
赶,0.888889,0.833333,0.666667,0.666667
眼光,1,1,0.714286,0.714286
叫,0.948718,0.948718,0.25641,0.25641
旗帜,0.555556,0.555556,0.944444,0.944444
补,1,1,1,1
想,0.486486,0.513514,0.27027,0.27027
带,0.373134,0.402985,0.149254,0.223881
道,0.444444,0.333333,0.333333,0.944444
Micro_ave,0.722041169,0.710097695,0.595005476,0.618892575
Macro_ave,0.78252325,0.768645325,0.69850725,0.71903345
